#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-03-12T09:08:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e694b4935b2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/633/A53&tab:{J/A+A/633/A53/tceclass}&key:source=J/A+A/633/A53&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/633/A53/tceclass
#-order=I
#-out=recno
#-out=Name
#-out=Pplavall
#-out=Tdepth
#-out=Tdur
#-out=Tepoch
#-out=Tperiod
#-out=Sector
#-out=TIC
#-out=[M/H]
#-out=Teff
#-out=Tmag
#-out=Dist
#-out=logg
#-out=Mass
#-out=pmDE
#-out=pmRA*
#-out=RAJ2000
#-out=DEJ2000
#-out=rad
#-out=rho
#

#RESOURCE=yCat_36330053
#Name: J/A+A/633/A53
#Title: TESS planet candidates classification (Osborn+, 2020)
#Table	J_A_A_633_A53_tceclass:
#Name: J/A+A/633/A53/tceclass
#Title: Class probability estimates for each Threshold Crossing Event (TCE) (Tables A1 and A2)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A18)	Unique Threshold Crossing Event (TCE) identifier, in the form TID_ndet_sector (IDTCE)	[ucd=meta.id;instr.sensitivity]
#Column	Pplavall	(F5.3)	Planet class probability (mean average over all 2-,3- & 4-class models) (pl_av_all)	[ucd=stat.fit.goodness]
#Column	Tdepth	(I6)	TCE Depth (TDEPTH)	[ucd=phot.flux.density;arith.ratio]
#Column	Tdur	(F7.3)	TCE Duration (TDUR)	[ucd=time.duration]
#Column	Tepoch	(F7.3)	Epoch of first transit (BJD-2454833.0) (TEPOCH)	[ucd=time.epoch]
#Column	Tperiod	(F7.3)	TCE Period (TPERIOD)	[ucd=time.period]
#Column	Sector	(I2)	TESS sector (1-4, 99=multi-sector) (sector)	[ucd=meta.code]
#Column	TIC	(I9)	Tess ID (from Tess input catalogue) (TID)	[ucd=meta.id]
#Column	[M/H]	(F7.3)	? Target star Metallicity (MH)	[ucd=meta.id;meta.main]
#Column	Teff	(F8.2)	? Target star effective surface temperature (Teff)	[ucd=meta.id]
#Column	Tmag	(F7.3)	Target star Tess magnitude (Tmag)	[ucd=phot.mag;em.opt]
#Column	Dist	(F13.6)	? Target star distance (d)	[ucd=pos.distance]
#Column	logg	(F9.6)	? Target star log surface gravity (logg)	[ucd=meta.id]
#Column	Mass	(F9.6)	? Target star mass in solar masses (mass)	[ucd=meta.id]
#Column	pmDE	(F11.6)	? Target star proper motion in declination (pmDEC)	[ucd=pos.pm;pos.eq.dec]
#Column	pmRA*	(F11.6)	? Target star proper motion in RA, pmRA*cosDE (pmRA)	[ucd=pos.pm;pos.eq.ra]
#Column	RAJ2000	(F10.6)	Target star right ascension (J2000) (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Target star declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	rad	(F9.6)	? Target star radii in solar radius (rad)	[ucd=meta.id]
#Column	rho	(F9.6)	? Target star density scaled to solar density (rho)	[ucd=phys.density]
#recno	Name	Pplavall	Tdepth	Tdur	Tepoch	Tperiod	Sector	TIC	[M/H]	Teff	Tmag	Dist	logg	Mass	pmDE	pmRA*	RAJ2000	DEJ2000	rad	rho
# 	 	 	ppm	h	d	d	 	 	[-]	K	mag	pc	[cm/s2]	Msun	mas/yr	mas/yr	deg	deg	Rsun	Sun
#--------	------------------	-----	------	-------	-------	-------	--	---------	-------	--------	-------	-------------	---------	---------	-----------	-----------	----------	----------	---------	---------
       1	000237332597_01_01	0.992	  9660	  3.835	1326.13	  2.927	 1	237332597	       	 6561.00	  8.096	   102.373070	 4.241370	 1.359900	   0.517973	  22.733500	346.828897	-60.876358	 1.463130	 0.434168
       2	000265613590_01_01	0.981	  4000	  4.757	1325.69	  4.818	 1	265613590	       	 6367.00	  7.215	    60.024010	         	 1.128390	 -94.920000	 148.480000	333.160562	-54.290876	 1.523360	 0.319192
       3	000350743714_00_03	0.963	  4400	  3.495	1388.30	 15.515	 3	350743714	 -0.410	 6038.00	  9.789	   193.709076	 3.960000	 1.312030	 -39.713100	   3.857790	 88.885933	-57.290593	 1.874260	 0.199276
       4	000166739520_00_02	0.936	  8280	  5.765	1357.57	 20.041	 2	166739520	 -0.360	 6038.00	  9.632	   156.373627	 4.355130	 1.130000	  24.626300	  60.404500	 36.775436	-50.284518	 1.170000	 0.705539
       5	000300903537_01_01	0.926	  9230	  3.322	1329.56	  5.824	 1	300903537	       	 4790.00	 12.224	   209.378000	 4.522340	 0.773181	 -30.561200	  34.703100	321.546664	-28.880561	 0.798331	 1.519610
       6	000235009317_01_01	0.925	  3650	  3.704	1325.48	  7.455	 1	235009317	       	 5983.00	 11.774	   428.851000	 4.307700	 1.100276	   0.376924	   6.364330	352.645890	-61.974380	 1.219320	 0.606951
       7	000039018208_01_99	0.919	  4420	  3.374	1327.92	  6.650	99	 39018208	 -0.450	 6081.50	 11.055	   384.231140	 4.030000	 1.121620	   3.228280	  -2.827110	 12.089551	-66.160247	 1.535990	 0.309514
       8	000308851582_01_04	0.917	 19530	  3.360	1412.52	  4.912	 4	308851582	       	 5806.00	  9.862	   157.142000	 4.340090	 1.043514	  62.670000	 -43.720000	122.586205	-63.740330	 1.143980	 0.697019
       9	000098658304_01_03	0.910	 20890	  3.238	1391.57	  5.931	 3	 98658304	       	 4707.00	 11.005	   136.580000	 4.531820	 0.752650	  18.430000	 105.750000	  8.935010	-22.743136	 0.779112	 1.591450
      10	000220523550_01_99	0.908	  2280	  5.755	1330.93	 13.497	99	220523550	 -0.250	 6352.80	 11.064	   380.067719	 4.360000	 1.219090	   5.749090	   7.693910	 42.562588	-65.207001	 1.480320	 0.375811
      11	000300871545_01_03	0.905	  1060	  2.287	1387.58	  4.821	 3	300871545	       	 6380.00	 10.025	   228.285614	 4.248520	 1.274370	  32.732900	 -14.256700	117.657590	-70.533607	 1.404760	 0.459715
      12	000453828066_01_04	0.891	 15680	  3.400	1417.77	  9.135	 4	453828066	       	 6545.99	  8.496	   135.886780	         	 1.466580	  -6.746150	  12.053100	 53.364883	  0.119663	 1.660770	 0.320168
      13	000382517745_01_01	0.887	 14690	  2.733	1326.48	 10.441	 1	382517745	       	 5518.00	 10.590	   200.395676	 4.255020	 0.969274	  17.488400	  -8.627960	117.452114	-64.042389	 1.215980	 0.539097
      14	000033665328_01_03	0.886	  9230	  3.104	1386.05	  2.054	 3	 33665328	       	 6249.00	  9.217	   143.391037	 4.299730	 1.212590	  46.919100	  70.553500	 30.108801	-29.778147	 1.291830	 0.562468
      15	000382517745_01_99	0.873	 14560	  2.798	1326.48	 10.441	99	382517745	       	 5518.00	 10.590	   200.395676	 4.255020	 0.969274	  17.488400	  -8.627960	117.452114	-64.042389	 1.215980	 0.539097
      16	000382517745_04_99	0.873	 14570	  2.802	1326.48	 10.441	99	382517745	       	 5518.00	 10.590	   200.395676	 4.255020	 0.969274	  17.488400	  -8.627960	117.452114	-64.042389	 1.215980	 0.539097
      17	000039018208_01_01	0.859	  4530	  3.465	1327.92	  6.649	 1	 39018208	 -0.450	 6081.50	 11.055	   384.231140	 4.030000	 1.121620	   3.228280	  -2.827110	 12.089551	-66.160247	 1.535990	 0.309514
